"","y_adj","year","iso3c","country","region","income","log_gdppc","urban","unemp","trade"
"1",0.270103931314957,1996,"ALB","Albania","Europe & Central Asia","Upper middle income",7.42879040128628,38.8996042444751,13.928,44.4117820054663
"2",0.30608766380479,2005,"ALB","Albania","Europe & Central Asia","Upper middle income",7.90576233447273,45.9937666920583,15.966,69.1162926602322
"3",0.290094893809309,2012,"ALB","Albania","Europe & Central Asia","Upper middle income",8.2353202979289,53.8637553661449,13.376,76.9683583166821
"4",0.294093086308179,2020,"ALB","Albania","Europe & Central Asia","Upper middle income",8.5133090569723,57.1408592155544,11.69,59.5206994391875
"5",0.301089923181202,2019,"ALB","Albania","Europe & Central Asia","Upper middle income",8.53157654989607,56.7639071287255,11.466,75.382128932689
"6",0.300090375056484,2008,"ALB","Albania","Europe & Central Asia","Upper middle income",8.11551538769269,49.3850699230207,13.06,75.2485472798728
"7",0.331076366922729,2017,"ALB","Albania","Europe & Central Asia","Upper middle income",8.44424195018346,55.980276426546,13.616,76.7873817898989
"8",0.337073655671035,2016,"ALB","Albania","Europe & Central Asia","Upper middle income",8.39650612371954,55.5738734464276,15.418,74.0144504546815
"9",0.317082693176683,2002,"ALB","Albania","Europe & Central Asia","Upper middle income",7.73940645239529,43.1520419609419,17.891,65.9914650336802
"10",0.328077722548577,2015,"ALB","Albania","Europe & Central Asia","Upper middle income",8.34273006712055,55.1579291374894,17.193,71.2794476606014
"11",0.301089923181202,2018,"ALB","Albania","Europe & Central Asia","Upper middle income",8.49572923096902,56.377000259892,12.304,75.6940783717425
"12",0.346069588793493,2014,"ALB","Albania","Europe & Central Asia","Upper middle income",8.30526633433528,54.7325813178673,18.055,75.0212023084129
"13",0.276101220063263,2011,"DZA","Algeria","Middle East & North Africa","Upper middle income",8.41213358633255,67.7344007507578,9.96,62.2200899610479
"14",0.353066425666516,1995,"DZA","Algeria","Middle East & North Africa","Upper middle income",8.08800508561311,56.0131170977738,31.84,55.1910052081435
"15",0.427032986895617,2008,"AGO","Angola","Sub-Saharan Africa","Lower middle income",8.17728973793169,58.5851745819614,16.228,108.680408741993
"16",0.512994125621329,2018,"AGO","Angola","Sub-Saharan Africa","Lower middle income",8.06990248216674,65.8732136723372,16.594,58.916480075976
"17",0.450022593764121,2008,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.48777186327693,90.6521912139817,7.837,40.4026733790382
"18",0.424034342521464,2023,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.47217317887909,92.1945132257907,6.139,26.6769512482215
"19",0.427032986895617,2020,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.34075885164215,91.9439026594897,11.461,30.203698807416
"20",0.424034342521464,2021,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.43741866562344,92.0292776175651,8.736,33.078689567466
"21",0.407042024401265,2022,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.49377517837597,92.112838186126,6.805,31.5801792606256
"22",0.424034342521464,2024,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.45519458479085,92.2742315972952,7.876,27.929760849367
"23",0.46301671938545,2007,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.45812987103844,90.4796632279031,8.47,40.945170618571
"24",0.448023497514686,1993,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.20237609977051,87.7307713525095,10.1,16.223151447784
"25",0.43802801626751,2009,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.41616509157774,90.8209023233265,8.645,34.0571269054879
"26",0.433030275643922,2019,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.44986091023742,91.8567844513802,9.843,32.6306150458499
"27",0.53298508811568,2001,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.21552141181042,89.3682951289372,17.32,21.8522554515453
"28",0.537982828739268,2002,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.08947832521894,89.5616701920513,19.59,41.7527243585642
"29",0.509995481247176,2003,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.16382846443413,89.752468256564,15.36,40.6447480311085
"30",0.478009941256213,2005,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.31467794732434,90.1233737736072,11.506,40.5512709706238
"31",0.468014460009037,1991,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.07450039492738,87.2150276705697,5.44,13.7530541588891
"32",0.455020334387709,1992,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.1370368216903,87.4815873775619,6.36,14.730980586353
"33",0.464016267510167,2006,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.38179300509717,90.3033726521064,10.078,40.4334798719151
"34",0.437028468142793,2010,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.50205097211623,90.9930051940977,7.714,34.9710132635696
"35",0.427032986895617,2011,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.54970975869115,91.1072286738406,7.18,35.2061549999644
"36",0.418037053773159,2014,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.5071901856661,91.3975345472954,7.268,28.4067936452275
"37",0.417037505648441,2018,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.47718141186775,91.7679941327998,9.22,30.7625359549926
"38",0.414038861274288,2017,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.51193370641233,91.6776028433824,8.347,25.2896011376779
"39",0.509995481247176,2000,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.27159071459115,89.1760271133454,15,22.6224447777343
"40",0.489004970628107,1995,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.20372934334302,88.1853677511823,18.8,19.7714230903755
"41",0.495002259376412,1996,"ARG","Argentina","Latin America & Caribbean","Upper middle income",9.24494854062712,88.3954731355194,17.11,21.5064684057215
